timestamp,3cdaf029c87a002_write,3cdaf029c87a002_read,512e070e8eb32959_write,512e070e8eb32959_read,5b3ba363fb10d52f_write,5b3ba363fb10d52f_read,6181f76d6668aeb0_write,6181f76d6668aeb0_read,69948e3d245f62b7_write,69948e3d245f62b7_read,69f554c3f7f50a72_write,69f554c3f7f50a72_read,8861d1f6a0217629_write,8861d1f6a0217629_read,933ca51d2bb602b8_write,933ca51d2bb602b8_read,b92b49a4de72942d_write,b92b49a4de72942d_read
1760767878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767880,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,2
1760767882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,11
1760767884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,71
1760767886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7
1760767892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,26,0,0
1760767900,0,0,0,0,0,0,0,0,0,0,4,4,0,0,72,57,5,6
1760767902,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,9,5
1760767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767910,0,0,0,0,0,0,0,0,0,0,4,2,0,0,3,4,93,90
1760767914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1760767916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767920,0,0,0,0,0,0,0,0,0,0,4,4,0,0,23,37,7,4
1760767922,0,0,0,0,0,0,0,0,0,0,20,29,0,0,0,0,3,1
1760767924,0,0,0,0,0,0,0,0,0,0,22,27,0,0,0,0,0,0
1760767926,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0
1760767928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767930,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,100,1,0
1760767932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767940,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,90,108
1760767942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767950,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,4,14,15
1760767952,0,0,0,0,0,0,0,0,0,0,15,24,0,0,21,19,0,0
1760767954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767960,0,0,0,0,0,0,0,0,0,0,6,3,0,0,86,89,6,5
1760767962,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,2
1760767964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767970,0,0,0,0,0,0,0,0,0,0,6,2,0,0,12,14,5,6
1760767972,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,34,31
1760767974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,31
1760767976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1760767980,0,0,0,0,0,0,0,0,0,0,0,8,0,0,25,29,9,2
1760767982,0,0,0,0,0,0,0,0,0,0,22,27,0,0,0,0,2,4
1760767984,0,0,0,0,0,0,0,0,0,0,28,21,0,0,0,0,0,0
1760767986,0,0,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0
1760767988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767990,0,0,0,0,0,0,0,0,0,0,1,5,0,0,85,71,6,5
1760767992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15
1760767994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767998,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0
1760768000,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,2,4
1760768002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,33
1760768004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10
1760768006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20
1760768008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18
1760768010,0,0,0,0,0,0,0,0,0,0,74,86,0,0,4,4,3,3
1760768012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,1
1760768014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,5,1
1760768022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,72,14,18
1760768024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768030,0,0,0,0,0,0,0,0,0,0,5,4,0,0,12,14,5,6
1760768032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768036,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,19,27
1760768040,0,0,0,0,0,0,0,0,0,0,97,72,0,0,22,21,21,7
1760768042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768050,0,0,0,0,0,0,0,0,0,0,5,3,0,0,97,84,6,4
1760768052,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1760768054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,1
1760768064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7
1760768070,0,0,0,0,0,0,0,0,0,0,61,59,0,0,4,4,11,25
1760768072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,4,5
1760768074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0
1760768076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768080,0,0,0,0,0,0,0,0,0,0,4,4,0,0,61,61,10,7
1760768084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760768088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
